Mes,Investimento_Mkt,Visualizacoes_Anuncio,Cliques_Anuncio,Vendas_Concluidas,Ticket_Medio,Faturamento_Total
1,5000,22706,1146,32,154.58,4946.56
2,5500,22628,1083,25,161.45,4036.25
3,6200,23893,1290,44,152.02,6688.88
4,7000,28351,1355,42,158.42,6653.64
5,8000,31412,1650,47,159.10,7477.70
6,9500,39120,1882,53,158.21,8385.13
7,11000,43255,2214,64,163.50,10464.00
8,12000,49010,2388,71,162.88,11564.48
9,13500,53440,2610,79,165.12,13044.48
10,14000,55102,2844,82,167.35,13722.70
11,15000,59858,2912,87,166.42,14478.54
12,14500,58735,3021,89,162.74,14483.86
